Country,Country Code,Series,Series Code,2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017]
United States,USA,"CPI Price, seas. adj.,,,",CPTOTSAXN,79.17295053827,81.40295863067,82.70188087006,84.60236886633,86.8591983619,89.78273130778,92.67561122146,95.33591125334,98.97293183992,98.65586453812,100.27043637657,103.41857941588,105.56264406925,107.11016239977,108.84048775105,108.97233410579,110.35340647147,112.70552858089
United States,USA,"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,USA,"Exchange rate, old LCU per USD extended forward, period average,,",DPANUSSPF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,USA,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,13138100,13263400,13488400,13865700,14399800,14901300,15315900,15624000,15643000,15236400,15649000,15891600,16254000,16553400,16932100,17390400,17680400,18076700
United States,USA,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,12550557.6397516,12670254.1614907,12885192.0496894,13245619.0062112,13755833.7888199,14234906.4596273,14630965.3416149,14925286.9565217,14943437.2670808,14555020.621118,14949168.9440994,15180919.7515528,15527113.0434783,15813123.7267081,16174888.0745342,16612692.6708075,16889723.7267081,17268300.9937888
United States,USA,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,10251000,10582000,10929200,11456500,12217200,13039300,13815700,14474200,14769900,14478000,15049100,15599800,16254000,16843300,17550700,18206000,18695100,19477400
United States,USA,"GDP,current LCU,millions,seas. adj.,",NYGDPMKTPSACN,10251000,10582000,10929200,11456500,12217200,13039300,13815700,14474200,14769900,14478000,15049100,15599800,16254000,16843300,17550700,18206000,18695100,19477400
United States,USA,"Nominal Effecive Exchange Rate,,,,",NEER,119.26384946704,125.41962078748,125.44386121403,117.42401020399,111.49344101191,108.80616378664,106.88548975788,101.96721110531,98.13991489793,103.8005820549,100,95.47317123915,98.36674889241,99.37167247741,101.65806344837,114.14286447453,119.2080249032,118.99951716108
United States,USA,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,USA,"Real Effective Exchange Rate,,,,",REER,119.54658175142,126.35963432308,126.39761145765,119.02397159033,113.81579807551,111.90624836028,110.92476285868,105.66606737959,100.77562251221,104.69644758098,100.01850084336,94.86723433317,96.86763972434,96.95371866853,98.93643861524,109.3177854106,113.53123861793,113.12843744086
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data from database: Global Economic Monitor (GEM),,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/27/2020,,,,,,,,,,,,,,,,,,,,,
