TL,Territory Level and Typology,REG_ID,Region,SERIES,SNA Classification,VAR,Indicator,MEAS,Measure,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
2,Large regions (TL2),ITH1,Province of Bolzano-Bozen,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2009,2009,,,0,Units,,,27913.4,,
2,Large regions (TL2),ITF1,Abruzzo,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2010,2010,,,0,Units,,,44318.5,,
2,Large regions (TL2),ITG2,Sardinia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,45259.1,,
2,Large regions (TL2),ITH1,Province of Bolzano-Bozen,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2008,2008,,,0,Units,,,28531,,
2,Large regions (TL2),ITC3,Liguria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2007,2007,,,0,Units,,,71573.2,,
2,Large regions (TL2),ITC2,Aosta Valley,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2006,2006,,,0,Units,,,6865.93,,
2,Large regions (TL2),ITH3,Veneto,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2013,2013,,,0,Units,,,200568,,
2,Large regions (TL2),ITF3,Campania,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2005,2005,,,0,Units,,,155881,,
2,Large regions (TL2),ITH4,Friuli-Venezia Giulia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2004,2004,,,0,Units,,,50633,,
2,Large regions (TL2),ITF1,Abruzzo,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2007,2007,,,0,Units,,,45440.6,,
2,Large regions (TL2),ITH2,Province of Trento,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,25117.4,,
2,Large regions (TL2),ITF3,Campania,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2012,2012,,,0,Units,,,143078,,
2,Large regions (TL2),ITI1,Tuscany,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2002,2002,,,0,Units,,,149168,,
2,Large regions (TL2),ITF4,Apulia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2000,2000,,,0,Units,,,104491,,
2,Large regions (TL2),ITC3,Liguria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2011,2011,,,0,Units,,,66751,,
2,Large regions (TL2),ITG2,Sardinia,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2013,2013,,,0,Units,,,44729.5,,
2,Large regions (TL2),ITI2,Umbria,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2004,2004,,,0,Units,,,33052.9,,
2,Large regions (TL2),ITF2,Molise,SNA_2008,Last SNA classification (SNA 2008 or latest available),GDP,Regional GDP,REAL_PPP,"Millions USD, constant prices, constant PPP, base year 2015",ALL,All regions,2009,2009,,,0,Units,,,9713.93,,
