DATAFLOW,FREQ,REF_AREA,DATA_TYPE_AGGR,BRKDW_INDUSTRY_NACE_REV2,NONFIN_ASSETS,EXPEND_PURPOSE_COICOPCOFOG,VALUATION,ADJUSTMENT,PRICE,EDITION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE_AGGR,NOTE_BRKDW_INDUSTRY_NACE_REV2,NOTE_NONFIN_ASSETS,NOTE_EXPEND_PURPOSE_COICOPCOFOG,NOTE_VALUATION,NOTE_ADJUSTMENT,NOTE_PRICE,NOTE_EDITION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:93_500_DF_DCCN_TNA_4(1.0),A,IT,P3_D_W0_S13,Z,Z,G,L_2015,N,Z,2022M12,2017,318284.1,,,,TIPO_DATO_CN1__P3_D_W0_S13_N1,,,,VAL__L_2015_N1,CORREZ__N_N1,,,,EURO,6
IT1:93_500_DF_DCCN_TNA_4(1.0),A,IT,P3_D_W0_S13,Z,Z,G,L_2015,N,Z,2022M12,2018,318519,,,,TIPO_DATO_CN1__P3_D_W0_S13_N1,,,,VAL__L_2015_N1,CORREZ__N_N1,,,,EURO,6
IT1:93_500_DF_DCCN_TNA_4(1.0),A,IT,P3_D_W0_S13,Z,Z,G,L_2015,N,Z,2022M12,2019,316621.5,,,,TIPO_DATO_CN1__P3_D_W0_S13_N1,,,,VAL__L_2015_N1,CORREZ__N_N1,,,,EURO,6
IT1:93_500_DF_DCCN_TNA_4(1.0),A,IT,P3_D_W0_S13,Z,Z,G,L_2015,N,Z,2022M12,2020,316685.4,,,,TIPO_DATO_CN1__P3_D_W0_S13_N1,,,,VAL__L_2015_N1,CORREZ__N_N1,,,,EURO,6
IT1:93_500_DF_DCCN_TNA_4(1.0),A,ITC,P3_D_W0_S13,Z,Z,G,L_2015,N,Z,2022M12,2000,74509.2,,,,TIPO_DATO_CN1__P3_D_W0_S13_N1,,,,VAL__L_2015_N1,CORREZ__N_N1,,,,EURO,6
IT1:93_500_DF_DCCN_TNA_4(1.0),A,ITC,P3_D_W0_S13,Z,Z,G,L_2015,N,Z,2022M12,2001,78731.5,,,,TIPO_DATO_CN1__P3_D_W0_S13_N1,,,,VAL__L_2015_N1,CORREZ__N_N1,,,,EURO,6
IT1:93_500_DF_DCCN_TNA_4(1.0),A,ITC,P3_D_W0_S13,Z,Z,G,L_2015,N,Z,2022M12,2002,78940.9,,,,TIPO_DATO_CN1__P3_D_W0_S13_N1,,,,VAL__L_2015_N1,CORREZ__N_N1,,,,EURO,6
IT1:93_500_DF_DCCN_TNA_4(1.0),A,ITC,P3_D_W0_S13,Z,Z,G,L_2015,N,Z,2022M12,2003,79942.2,,,,TIPO_DATO_CN1__P3_D_W0_S13_N1,,,,VAL__L_2015_N1,CORREZ__N_N1,,,,EURO,6
IT1:93_500_DF_DCCN_TNA_4(1.0),A,ITC,P3_D_W0_S13,Z,Z,G,L_2015,N,Z,2022M12,2004,80871.4,,,,TIPO_DATO_CN1__P3_D_W0_S13_N1,,,,VAL__L_2015_N1,CORREZ__N_N1,,,,EURO,6
IT1:93_500_DF_DCCN_TNA_4(1.0),A,ITC,P3_D_W0_S13,Z,Z,G,L_2015,N,Z,2022M12,2005,80780.3,,,,TIPO_DATO_CN1__P3_D_W0_S13_N1,,,,VAL__L_2015_N1,CORREZ__N_N1,,,,EURO,6
